player_name,team_abbreviation,age,player_height,player_weight,college,country
Darrin Hancock,ATL,25,200.66,92.98636,Kansas,USA
Darvin Ham,IND,23,200.66,99.79024,Texas Tech,USA
David Robinson,SAS,31,215.9,106.59412,Navy,USA
David Vaughn,ORL,24,205.74,108.86208,Memphis,USA
David Wesley,BOS,26,185.42,89.811216,Baylor,USA
David Wingate,SEA,33,195.58,83.91452,Georgetown,USA
David Wood,MIL,32,205.74,104.32616,Nevada-Reno,USA
Dean Garrett,MIN,30,210.82,113.398,Indiana,USA
Dee Brown,BOS,28,187.96,87.089664,Jacksonville,USA
Dell Curry,CHH,33,195.58,92.98636,Virginia Tech,USA
Dell Demps,ORL,27,190.5,92.98636,Pacific,USA
Dennis Rodman,CHI,36,198.12,99.79024,Southeastern Oklahoma State,USA
Dennis Scott,ORL,28,203.2,106.59412,Georgia Tech,USA
Derek Fisher,LAL,22,185.42,90.7184,Arkansas-Little Rock,USA
Derek Harper,DAL,35,193.04,93.439952,Illinois,USA
Derek Strong,ORL,29,205.74,108.86208,Xavier,USA
Derrick Alston,ATL,24,210.82,102.0582,Duquesne,USA
Derrick McKey,IND,30,205.74,92.98636,Alabama,USA
Brett Szabo,BOS,29,210.82,104.32616,Augustana (SD),USA
Juwan Howard,WAS,24,205.74,113.398,Michigan,USA
Keith Askins,MIA,29,203.2,101.604608,Alabama,USA
Scott Burrell,GSW,26,200.66,102.511792,Connecticut,USA
Scott Williams,PHI,29,208.28,104.32616,North Carolina,USA
Scottie Pippen,CHI,31,200.66,103.418976,Central Arkansas,USA
Sean Elliott,SAS,29,203.2,99.79024,Arizona,USA
Sean Rooks,LAL,27,208.28,117.93392,Arizona,USA
Sedale Threatt,HOU,35,187.96,83.91452,West Virginia Tech,USA
Shandon Anderson,UTA,23,198.12,94.347136,Georgia,USA
Shane Heal,MIN,26,182.88,81.64656,None,USA
Shaquille O'Neal,LAL,25,215.9,136.0776,Louisiana State,USA
Scott Brooks,NYK,31,180.34,74.84268,California-Irvine,USA
Shareef Abdur-Rahim,VAN,20,205.74,104.32616,California,USA
Shawn Bradley,DAL,25,228.6,112.490816,Brigham Young,USA
Shawn Kemp,SEA,27,208.28,116.119552,Trinity Valley Community College,USA
Shawn Respert,TOR,25,187.96,83.91452,Michigan State,USA
Shawnelle Scott,CLE,25,210.82,113.398,St. John's (NY),USA
Sherman Douglas,MIL,30,185.42,88.45044,Syracuse,USA
Stacey Augmon,POR,28,203.2,92.98636,Nevada-Las Vegas,USA
Stacey King,DAL,30,210.82,113.398,Oklahoma,USA
Stanley Roberts,LAC,27,213.36,131.54168,Louisiana State,USA
Stephen Howard,UTA,26,205.74,111.13004,DePaul,USA
Sharone Wright,TOR,24,210.82,117.93392,Clemson,USA
Sasha Danilovic,DAL,27,198.12,90.7184,None,USA
Sarunas Marciulionis,DEN,33,195.58,90.7184,None,USA
Samaki Walker,DAL,21,205.74,108.86208,Louisville,USA
Rex Walters,PHI,27,193.04,86.18248,Kansas,USA
Richard Manning,LAC,27,210.82,111.13004,Washington,USA
Rick Fox,BOS,27,200.66,112.944408,North Carolina,Canada
Rick Mahorn,DET,38,208.28,117.93392,Hampton,USA
Ricky Pierce,CHH,37,193.04,97.52228,Rice,USA
Rik Smits,IND,30,223.52,120.20188,Marist,USA
Robert Horry,LAL,26,208.28,99.79024,Alabama,USA
Robert Pack,DAL,28,187.96,86.18248,Southern California,USA
Robert Parish,CHI,43,215.9,110.676448,Centenary (LA),USA
Robert Werdann,NJN,26,210.82,113.398,St. John's (NY),USA
Rod Strickland,WAS,30,190.5,83.91452,DePaul,USA
Rodney Rogers,LAC,26,200.66,115.66596,Wake Forest,USA
Ron Harper,CHI,33,198.12,97.975872,Miami (OH),USA
Rony Seikaly,ORL,32,210.82,114.758776,Syracuse,USA
Roy Rogers,VAN,23,208.28,106.59412,Alabama,USA
Ruben Nembhard,POR,25,190.5,94.347136,Weber State,USA
Rumeal Robinson,POR,30,187.96,88.45044,Michigan,USA
Sam Cassell,NJN,27,190.5,83.91452,Florida State,USA
Sam Mack,HOU,27,200.66,99.79024,Houston,USA
Sam Mitchell,MIN,33,200.66,97.52228,Mercer,USA
Sam Perkins,SEA,36,205.74,115.66596,North Carolina,USA
Stephon Marbury,MIN,20,187.96,81.64656,Georgia Tech,USA
Rex Chapman,PHX,29,193.04,88.45044,Kentucky,USA
Steve Hamer,BOS,23,213.36,111.13004,Tennessee,USA
Steve Nash,PHX,23,190.5,88.45044,Santa Clara,Canada
Willie Anderson,MIA,30,203.2,90.7184,Georgia,USA
Will Perdue,SAS,31,213.36,108.86208,Vanderbilt,USA
Wesley Person,PHX,26,198.12,88.45044,Auburn,USA
Wayman Tisdale,PHX,33,205.74,117.93392,Oklahoma,USA
Walter McCarty,NYK,23,208.28,104.32616,Kentucky,USA
Walt Williams,TOR,27,203.2,104.32616,Maryland,USA
Voshon Lenard,MIA,24,193.04,92.98636,Minnesota,USA
Vlade Divac,CHH,29,215.9,117.93392,None,Serbia and Montenegro
Vitaly Potapenko,CLE,22,208.28,127.00576,Wright State,Ukraine
Willie Burton,ATL,29,203.2,95.25432,Minnesota,USA
Vinny Del Negro,SAS,30,193.04,90.7184,North Carolina State,USA
Vin Baker,MIL,25,210.82,111.13004,Hartford,USA
Vernon Maxwell,SAS,31,193.04,86.18248,Florida,USA
Tyus Edney,SAC,24,177.8,68.945984,UCLA,USA
Tyrone Hill,CLE,29,205.74,111.13004,Xavier,USA
Tyrone Corbin,ATL,34,198.12,102.0582,DePaul,USA
Travis Knight,LAL,22,213.36,106.59412,Connecticut,USA
Travis Best,IND,24,180.34,82.553744,Georgia Tech,USA
Tracy Murray,WAS,25,200.66,103.418976,UCLA,USA
Tracy Moore,HOU,31,193.04,90.7184,Tulsa,USA
Vincent Askew,DEN,31,198.12,106.59412,Memphis,USA
Xavier McDaniel,NJN,34,200.66,98.883056,Wichita State,USA
Yinka Dare,NJN,24,213.36,120.20188,George Washington,USA
Zan Tabak,TOR,27,213.36,111.13004,None,USA
Steve Scheffler,SEA,29,205.74,113.398,Purdue,USA
Steven Smith,ATL,28,203.2,97.52228,Michigan State,USA
Stevin Smith,DAL,25,187.96,94.347136,Arizona State,USA
Stojko Vrankovic,MIN,33,218.44,117.93392,None,USA
Terrell Brandon,CLE,27,180.34,81.64656,Oregon,USA
Terry Cummings,SEA,36,205.74,113.398,DePaul,USA
Terry Dehere,LAC,25,193.04,86.18248,Seton Hall,USA
Terry Mills,DET,29,208.28,113.398,Michigan,USA
Terry Porter,MIN,34,190.5,88.45044,Wisconsin-Stevens Point,USA
Theo Ratliff,DET,24,208.28,102.0582,Wyoming,USA
Tim Hardaway,MIA,30,182.88,88.45044,Texas-El Paso,USA
Tim Kempton,SAS,33,208.28,111.13004,Notre Dame,USA
Tim Legler,WAS,30,193.04,90.7184,La Salle,USA
Todd Day,BOS,27,198.12,85.275296,Arkansas,USA
Todd Fuller,GSW,22,210.82,115.66596,North Carolina State,USA
Tom Chambers,CHH,38,208.28,99.79024,Utah,USA
Tom Gugliotta,MIN,27,208.28,108.86208,North Carolina State,USA
Tom Hammonds,DEN,30,205.74,102.0582,Georgia Tech,USA
Toni Kukoc,CHI,28,210.82,105.233344,None,Croatia
Tony Delk,CHH,23,187.96,85.728888,Kentucky,USA
Tony Dumas,PHX,24,198.12,86.18248,Missouri-Kansas City,USA
Steve Kerr,CHI,31,190.5,81.64656,Arizona,USA
Reggie Williams,NJN,33,201,86,Georgetown,USA
Reggie Slater,TOR,26,200.66,97.52228,Wyoming,USA
Reggie Miller,IND,31,200.66,83.91452,UCLA,USA
Lindsey Hunter,DET,26,187.96,88.45044,Jackson State,USA
Lionel Simmons,SAC,28,200.66,95.25432,La Salle,USA
Litterial Green,DET,27,185.42,83.91452,Georgia,USA
Tony Smith,CHH,29,193.04,92.98636,Marquette,USA
Loren Meyer,PHX,24,208.28,117.93392,Iowa State,USA
Lorenzen Wright,LAC,21,210.82,108.86208,Memphis,USA
Lorenzo Williams,WAS,27,205.74,104.32616,Stetson,USA
Lou Roe,GSW,24,200.66,99.79024,Massachusetts,USA
Loy Vaught,LAC,29,205.74,108.86208,Michigan,USA
Lee Mayberry,VAN,27,185.42,81.64656,Arkansas,USA
Luc Longley,CHI,28,218.44,132.448864,New Mexico,USA
Mahmoud Abdul-Rauf,SAC,28,185.42,73.481904,Louisiana State,USA
Malik Rose,CHH,22,200.66,113.398,Drexel,USA
Malik Sealy,LAC,27,203.2,90.7184,St. John's (NY),USA
Marcus Brown,POR,23,190.5,83.91452,Murray State,USA
Marcus Camby,TOR,23,210.82,99.79024,Massachusetts,USA
Mario Elie,HOU,33,195.58,95.25432,American International,USA
Mark Bradtke,PHI,28,208.28,120.20188,None,USA
Mark Bryant,PHX,32,205.74,111.13004,Seton Hall,USA
Mark Davis,PHI,24,200.66,95.25432,Texas Tech,USA
Lucious Harris,PHI,26,195.58,92.98636,Long Beach State,USA
Lawrence Moten,VAN,25,195.58,86.18248,Syracuse,USA
Latrell Sprewell,GSW,26,195.58,86.18248,Alabama,USA
Larry Stewart,SEA,28,203.2,104.32616,Coppin State,USA
Keith Tower,MIL,27,210.82,113.398,Notre Dame,USA
Ken Norman,ATL,32,203.2,97.52228,Illinois,USA
Kendall Gill,NJN,29,195.58,97.975872,Illinois,USA
Kenny Anderson,POR,26,185.42,76.203456,Georgia Tech,USA
Kenny Smith,DEN,32,190.5,77.11064,North Carolina,USA
Kerry Kittles,NJN,23,195.58,81.192968,Villanova,USA
Kevin Duckworth,LAC,33,213.36,136.0776,Eastern Illinois,USA
Kevin Edwards,NJN,31,190.5,95.25432,DePaul,USA
Kevin Gamble,SAC,31,195.58,95.25432,Iowa,USA
Kevin Garnett,MIN,21,210.82,99.79024,None,USA
Kevin Johnson,PHX,31,185.42,86.18248,California,USA
Kevin Salvadori,SAC,26,213.36,104.779752,North Carolina,USA
Kevin Willis,HOU,34,213.36,111.13004,Michigan State,USA
Khalid Reeves,DAL,24,190.5,91.171992,Arizona,USA
Kobe Bryant,LAL,18,200.66,90.7184,None,USA
Kurt Thomas,MIA,24,205.74,106.59412,Texas Christian,USA
LaPhonso Ellis,DEN,27,203.2,108.86208,Notre Dame,USA
LaSalle Thompson,IND,36,208.28,111.13004,Texas,USA
Lamond Murray,LAC,24,200.66,107.047712,California,USA
Larry Johnson,NYK,28,200.66,119.294696,Nevada-Las Vegas,USA
Larry Krystkowiak,LAL,32,205.74,99.79024,Montana,USA
Mark Hendrickson,PHI,23,205.74,99.79024,Washington State,USA
Mark Jackson,IND,32,190.5,83.91452,St. John's (NY),USA
Mark Price,GSW,33,182.88,81.64656,Georgia Tech,USA
Mark Strickland,MIA,26,208.28,99.79024,Temple,USA
Nick Anderson,ORL,29,198.12,103.418976,Illinois,USA
Nick Van Exel,LAL,25,185.42,83.007336,Cincinnati,USA
Olden Polynice,SAC,32,213.36,113.398,Virginia,USA
Oliver Miller,TOR,27,205.74,140.61352,Arkansas,USA
Othella Harrington,HOU,23,205.74,106.59412,Georgetown,USA
Otis Thorpe,DET,34,208.28,111.583632,Providence,USA
P.J. Brown,MIA,27,210.82,108.86208,Louisiana Tech,USA
Patrick Ewing,NYK,34,213.36,108.86208,Georgetown,Jamaica
Pervis Ellison,BOS,30,205.74,95.25432,Louisville,USA
Pete Chilcutt,VAN,28,208.28,108.86208,North Carolina,USA
Pooh Richardson,LAC,31,185.42,81.64656,UCLA,USA
Popeye Jones,TOR,27,203.2,113.398,Murray State,USA
Priest Lauderdale,ATL,23,223.52,155.582056,Central State (OH),USA
Rafael Addison,CHH,32,203.2,109.315672,Syracuse,USA
Randolph Childress,DET,24,187.96,85.275296,Wake Forest,USA
Randy Brown,CHI,29,187.96,86.18248,New Mexico State,USA
Rasheed Wallace,POR,22,210.82,102.0582,North Carolina,USA
Ray Allen,MIL,21,195.58,92.98636,Connecticut,USA
Ray Owes,GSW,24,205.74,101.604608,Arizona,USA
Reggie Geary,CLE,23,187.96,84.821704,Arizona,USA
Reggie Jordan,MIN,29,193.04,88.45044,New Mexico State,USA
Nate McMillan,SEA,32,195.58,90.7184,North Carolina State,USA
Karl Malone,UTA,33,205.74,116.119552,Louisiana Tech,USA
Nate Driggers,BOS,23,195.58,97.52228,Montevallo,USA
Mookie Blaylock,ATL,30,185.42,83.91452,Oklahoma,USA
Mark West,CLE,36,208.28,111.583632,Old Dominion,USA
Martin Lewis,TOR,22,198.12,102.0582,Seward County Community College,USA
Martin Muursepp,DAL,22,205.74,106.59412,None,USA
Marty Conlon,BOS,29,210.82,111.13004,Providence,USA
Matt Bullard,HOU,30,208.28,106.59412,Iowa,USA
Matt Fish,MIA,27,210.82,106.59412,North Carolina-Wilmington,USA
Matt Geiger,CHH,27,215.9,111.13004,Georgia Tech,USA
Matt Maloney,HOU,25,190.5,90.7184,Pennsylvania,USA
Matt Steigenga,CHI,27,200.66,102.0582,Michigan State,USA
Melvin Booker,GSW,24,187.96,83.91452,Missouri,USA
Michael Cage,PHI,35,205.74,112.490816,San Diego State,USA
Michael Curry,DET,28,195.58,95.25432,Georgia Southern,USA
Michael Finley,DAL,24,200.66,97.52228,Wisconsin,USA
Michael Hawkins,BOS,24,182.88,80.739376,Xavier,USA
Michael Jordan,CHI,34,198.12,97.975872,North Carolina,USA
Michael Smith,SAC,25,203.2,104.32616,Providence,USA
Mike Brown,PHX,33,208.28,117.93392,George Washington,USA
Mitch Richmond,SAC,32,195.58,97.52228,Kansas State,USA
Mitchell Butler,POR,26,195.58,95.25432,UCLA,USA
Monty Williams,SAS,25,203.2,102.0582,Notre Dame,USA
Moochie Norris,VAN,23,187.96,85.275296,West Florida,USA
Muggsy Bogues,CHH,32,160.02,63.956472,Wake Forest,USA
Brent Scott,IND,26,208.28,113.398,Rice,USA
Lloyd Daniels,NJN,29,200.66,92.98636,Mt. San Antonio,USA
Tony Massenburg,NJN,29,205.74,113.398,Maryland,USA
Antonio McDyess,DEN,22,205.74,99.79024,Alabama,USA
Armen Gilliam,MIL,33,205.74,117.93392,Nevada-Las Vegas,USA
Arvydas Sabonis,POR,32,220.98,132.448864,None,Lithuania
Ashraf Amaya,WAS,25,203.2,104.32616,Southern Illinois,USA
Avery Johnson,SAS,32,180.34,81.64656,Southern,USA
B.J. Armstrong,GSW,29,187.96,79.3786,Iowa,USA
Ben Davis,PHX,24,205.74,108.86208,Arizona,USA
Ben Wallace,WAS,22,205.74,108.86208,Virginia Union,USA
Benoit Benjamin,TOR,32,213.36,113.398,Creighton,USA
Antonio Lang,CLE,25,203.2,104.32616,Duke,USA
Bill Wennington,CHI,34,213.36,111.13004,St. John's (NY),USA
Bimbo Coles,GSW,29,187.96,82.553744,Virginia Tech,USA
Bison Dele,CHI,28,210.82,117.93392,Arizona,USA
Blue Edwards,VAN,31,193.04,103.418976,East Carolina,USA
Bo Outlaw,LAC,26,203.2,95.25432,Houston,USA
Bob Sura,CLE,24,195.58,90.7184,Florida State,USA
Bobby Hurley,SAC,26,182.88,74.84268,Duke,USA
Bobby Phills,CLE,27,195.58,99.79024,Southern,USA
Brad Lohaus,TOR,32,210.82,104.32616,Iowa,USA
Brent Price,HOU,28,185.42,83.91452,Oklahoma,USA
Billy Owens,SAC,28,205.74,102.0582,Syracuse,USA
Antonio Harvey,SEA,26,210.82,102.0582,Pfeiffer,USA
Brent Barry,LAC,25,198.12,88.45044,Oregon State,USA
Antoine Walker,BOS,20,205.74,101.604608,Kentucky,USA
A.C. Green,DAL,33,205.74,102.0582,Oregon State,USA
Aaron McKie,DET,24,195.58,94.800728,Temple,USA
Aaron Williams,VAN,25,205.74,102.0582,Xavier,USA
Acie Earl,MIL,27,210.82,108.86208,Iowa,USA
Adam Keefe,UTA,27,205.74,109.315672,Stanford,USA
Adrian Caldwell,PHI,30,203.2,120.20188,Lamar,USA
Antonio Davis,IND,28,205.74,104.32616,Texas-El Paso,USA
Aleksandar Djordjevic,POR,29,187.96,89.811216,None,USA
Allan Houston,NYK,26,198.12,90.7184,Tennessee,USA
Allen Iverson,PHI,22,182.88,74.84268,Georgetown,USA
Alan Henderson,ATL,24,205.74,106.59412,Indiana,USA
Alton Lister,BOS,38,213.36,111.13004,Arizona State,USA
Antoine Carr,UTA,35,205.74,115.66596,Wichita State,USA
Alonzo Mourning,MIA,27,208.28,118.387512,Georgetown,USA
